QueryTaxID,TaxID,Rank,ScientificName
QueryTaxID,TaxID,Rank,ScientificName
10607,10607,serotype,Human papillomavirus 17
10607,10239,superkingdom,Viruses
10607,2731342,clade,Monodnaviria
10607,2732092,kingdom,Shotokuvirae
10607,2732415,phylum,Cossaviricota
10607,2732421,class,Papovaviricetes
10607,2732533,order,Zurhausenvirales
10607,151340,family,Papillomaviridae
10607,2169595,subfamily,Firstpapillomavirinae
10607,333922,genus,Betapapillomavirus
10607,333924,species,Betapapillomavirus 2
QueryTaxID,TaxID,Rank,ScientificName
10608,10608,serotype,Human papillomavirus 19
10608,10239,superkingdom,Viruses
10608,2731342,clade,Monodnaviria
10608,2732092,kingdom,Shotokuvirae
10608,2732415,phylum,Cossaviricota
10608,2732421,class,Papovaviricetes
10608,2732533,order,Zurhausenvirales
10608,151340,family,Papillomaviridae
10608,2169595,subfamily,Firstpapillomavirinae
10608,333922,genus,Betapapillomavirus
10608,337051,species,Betapapillomavirus 1
QueryTaxID,TaxID,Rank,ScientificName
10609,10609,serotype,human papillomavirus 25
10609,10239,superkingdom,Viruses
10609,2731342,clade,Monodnaviria
10609,2732092,kingdom,Shotokuvirae
10609,2732415,phylum,Cossaviricota
10609,2732421,class,Papovaviricetes
10609,2732533,order,Zurhausenvirales
10609,151340,family,Papillomaviridae
10609,2169595,subfamily,Firstpapillomavirinae
10609,333922,genus,Betapapillomavirus
10609,337051,species,Betapapillomavirus 1
QueryTaxID,TaxID,Rank,ScientificName
10610,10610,serotype,Human papillomavirus type 2c
10610,10239,superkingdom,Viruses
10610,2731342,clade,Monodnaviria
10610,2732092,kingdom,Shotokuvirae
10610,2732415,phylum,Cossaviricota
10610,2732421,class,Papovaviricetes
10610,2732533,order,Zurhausenvirales
10610,151340,family,Papillomaviridae
10610,2169595,subfamily,Firstpapillomavirinae
10610,333750,genus,Alphapapillomavirus
10610,337043,species,Alphapapillomavirus 4
QueryTaxID,TaxID,Rank,ScientificName
10611,10611,serotype,human papillomavirus 30
10611,10239,superkingdom,Viruses
10611,2731342,clade,Monodnaviria
10611,2732092,kingdom,Shotokuvirae
10611,2732415,phylum,Cossaviricota
10611,2732421,class,Papovaviricetes
10611,2732533,order,Zurhausenvirales
10611,151340,family,Papillomaviridae
10611,2169595,subfamily,Firstpapillomavirinae
10611,333750,genus,Alphapapillomavirus
10611,337050,species,Alphapapillomavirus 6
QueryTaxID,TaxID,Rank,ScientificName
10614,10614,serotype,Human papillomavirus 3
10614,10239,superkingdom,Viruses
